Genes	avg_logFC	pct.TM	pct.PB	pct.Difference	p_val	p_val_adj	
C16orf95	0.243064788	0.003	0.006	-0.003	0.632053278	1	
IL32	0.242899893	0.991	0.994	-0.003	3.82E-07	0.007048024	
FBXW9	0.242850407	0.019	0.012	0.007	0.574155921	1	
SUFU	0.2427045	0.035	0.019	0.016	0.31281776	1	
PSMB2	0.242685622	0.389	0.312	0.077	0.083174403	1	
FAM129A	0.242355361	0.479	0.362	0.117	0.030620793	1	
PLEKHB1	0.242349388	0.049	0.038	0.011	0.54522913	1	
LSM1	0.242255951	0.254	0.212	0.042	0.234135081	1	
AMMECR1L	0.242218173	0.028	0.031	-0.003	0.840894809	1	
ZNF518B	0.242085907	0.035	0.031	0.004	0.811750329	1	
FAM83G	0.242067224	0.003	0.006	-0.003	0.632053278	1	
PPM1L	0.241959533	0.003	0	0.003	0.456375917	1	
LRRC45	0.24185618	0.031	0.025	0.006	0.672650973	1	
DAXX	0.241822229	0.15	0.144	0.006	0.73941082	1	
LENG1	0.241730746	0.152	0.125	0.027	0.354238488	1	
MAN2A2	0.241659365	0.014	0.019	-0.005	0.670298265	1	
BLZF1	0.241620289	0.091	0.069	0.022	0.37114277	1	
AARSD1	0.241607162	0.099	0.081	0.018	0.484982528	1	
TMEM259	0.24157114	0.082	0.069	0.013	0.560994934	1	
AC079767.4	0.24156262	0.002	0	0.002	0.599816854	1	
ATRIP	0.24156262	0.002	0	0.002	0.599816854	1	
RP11-431K24.1	0.24156262	0.002	0	0.002	0.599816854	1	
RP11-115C21.2	0.241538269	0.031	0.025	0.006	0.679434941	1	
MAGED2	0.241530061	0.267	0.219	0.048	0.177110055	1	
ZBTB11-AS1	0.241522664	0.019	0.012	0.007	0.576673325	1	
ANKRD10	0.241485493	0.404	0.35	0.054	0.168559795	1	
SNX14	0.241436809	0.122	0.1	0.022	0.403956809	1	
TYMS	0.240831914	0.016	0.012	0.004	0.773730394	1	
ATP5SL	0.240685537	0.106	0.094	0.012	0.579987046	1	
SNRPD3	0.240620672	0.453	0.394	0.059	0.083595161	1	
RFC4	0.240475336	0.078	0.069	0.009	0.670147117	1	
RAB5B	0.240379322	0.153	0.125	0.028	0.375168121	1	
ZFYVE28	0.240338548	0.111	0.088	0.023	0.389375823	1	
ADSS	0.240331795	0.294	0.25	0.044	0.21221997	1	
DPY19L1	0.240325812	0.01	0.006	0.004	0.631485996	1	
ALG10	0.240128222	0.024	0.012	0.012	0.369385969	1	
USP37	0.239545675	0.061	0.056	0.005	0.804926322	1	
UNC45A	0.239456852	0.103	0.1	0.003	0.840747631	1	
MAPRE2	0.239417698	0.404	0.344	0.06	0.066809258	1	
LEPR	0.239040867	0.017	0.012	0.005	0.666521499	1	
ARPC1A	0.239036684	0.249	0.212	0.037	0.297634263	1	
SYS1	0.23888208	0.195	0.162	0.033	0.301903114	1	
SDF2	0.238699339	0.247	0.212	0.035	0.295969528	1	
TRIM25	0.238649291	0.035	0.025	0.01	0.540264505	1	
CITED2	0.238579225	0.348	0.319	0.029	0.398588986	1	
ZNF426	0.238488155	0.049	0.038	0.011	0.549854581	1	
AIM1	0.238385906	0.263	0.219	0.044	0.188716063	1	
IRGQ	0.238321326	0.012	0.006	0.006	0.526729609	1	
AR	0.238210608	0.002	0	0.002	0.599816854	1	
PLA1A	0.238210608	0.002	0	0.002	0.599816854	1	
RP11-216L13.16	0.238210608	0.002	0	0.002	0.599816854	1	
ST3GAL5-AS1	0.238210608	0.002	0	0.002	0.599816854	1	
TEX9	0.238210608	0.002	0	0.002	0.599816854	1	
GSTM2	0.23809799	0.038	0.038	0	0.940752291	1	
CD300LF	0.237874153	0.003	0	0.003	0.456375917	1	
PSKH1	0.23785045	0.028	0.025	0.003	0.834795477	1	
ALYREF	0.237694289	0.026	0.019	0.007	0.593692549	1	
IL15RA	0.23763344	0.092	0.069	0.023	0.356090763	1	
DNM1L	0.237619226	0.117	0.081	0.036	0.212087679	1	
FLYWCH2	0.237547814	0.157	0.138	0.019	0.48067645	1	
UBE2H	0.237271489	0.092	0.1	-0.008	0.85920962	1	
AC100830.4	0.237200439	0.002	0	0.002	0.599816854	1	
EPM2A	0.237200439	0.002	0	0.002	0.599816854	1	
LETM2	0.236805971	0.056	0.038	0.018	0.375206251	1	
RP11-161M6.2	0.236714731	0.002	0	0.002	0.599816854	1	
TACSTD2	0.236714731	0.002	0	0.002	0.599816854	1	
VPS9D1-AS1	0.236714731	0.002	0	0.002	0.599816854	1	
ST8SIA4	0.236564384	0.28	0.244	0.036	0.302800381	1	
HIC1	0.236553272	0.002	0	0.002	0.599816854	1	
NOP2	0.236376646	0.085	0.062	0.023	0.351642926	1	
HSPA9	0.236320402	0.399	0.375	0.024	0.272572682	1	
METRN	0.236134513	0.002	0	0.002	0.599816854	1	
RP11-148K1.12	0.236134513	0.002	0	0.002	0.599816854	1	
RP11-408B11.2	0.235990145	0.003	0	0.003	0.456375917	1	
C19orf52	0.235967296	0.056	0.038	0.018	0.371080851	1	
ALPK2	0.235909643	0.002	0	0.002	0.599816854	1	
MYBPC1	0.235909643	0.002	0	0.002	0.599816854	1	
PTK7	0.235909643	0.002	0	0.002	0.599816854	1	
SH3BGRL2	0.235909643	0.002	0	0.002	0.599816854	1	
RGS14	0.235746517	0.2	0.175	0.025	0.422055739	1	
CTD-2007H13.3	0.235607059	0.016	0.019	-0.003	0.801463105	1	
AP4M1	0.235408392	0.038	0.031	0.007	0.668211254	1	
DNASE1	0.235303794	0.045	0.031	0.014	0.443371112	1	
FMNL1	0.235015179	0.258	0.225	0.033	0.333702165	1	
PDLIM1	0.234879111	0.007	0.006	0.001	0.918675923	1	
SGK223	0.234726787	0.009	0.006	0.003	0.759992217	1	
CCDC102A	0.234693089	0.01	0.006	0.004	0.631485996	1	
ZNF441	0.234583899	0.01	0.006	0.004	0.631485996	1	
EIF5AL1	0.234569411	0.002	0	0.002	0.599816854	1	
NABP2	0.234541626	0.178	0.138	0.04	0.254625918	1	
TMED9	0.23446645	0.451	0.431	0.02	0.265717	1	
MRPL47	0.234352737	0.28	0.256	0.024	0.343764944	1	
SCP2	0.234029384	0.493	0.394	0.099	0.034157846	1	
TM2D1	0.233937136	0.206	0.2	0.006	0.673734059	1	
PPP1R37	0.233891097	0.033	0.025	0.008	0.604747319	1	
CAP1	0.233599795	0.678	0.606	0.072	0.012768818	1	
CRNDE	0.233558505	0.002	0	0.002	0.599816854	1	
DDX26B	0.233523395	0.049	0.038	0.011	0.556051772	1	
POR	0.233475758	0.117	0.1	0.017	0.528980937	1	
ARID5B	0.23345654	0.746	0.681	0.065	0.039371931	1	
CLTC	0.233446427	0.202	0.156	0.046	0.196517922	1	
ZDHHC16	0.233424762	0.038	0.031	0.007	0.67103681	1	
CNPY4	0.23334592	0.042	0.038	0.004	0.793000382	1	
SRSF3	0.233281544	0.693	0.625	0.068	0.056444254	1	
NMUR1	0.23326938	0.003	0	0.003	0.456375917	1	
MORF4L1	0.233182395	0.725	0.7	0.025	0.019643507	1	
MTURN	0.233014441	0.01	0.006	0.004	0.629705803	1	
SDCBP	0.232986273	0.376	0.369	0.007	0.570828812	1	
HLA-DRB5	0.232752359	0.768	0.675	0.093	0.044742516	1	
TIRAP	0.232620645	0.04	0.031	0.009	0.60864241	1	
MKNK2	0.232580912	0.145	0.119	0.026	0.405677522	1	
CH507-154B10.2	0.232213803	0.002	0	0.002	0.599816854	1	
GALR2	0.232213803	0.002	0	0.002	0.599816854	1	
GTSE1-AS1	0.232213803	0.002	0	0.002	0.599816854	1	
LGALSL	0.232213803	0.002	0	0.002	0.599816854	1	
RP11-44N11.2	0.232010424	0.003	0	0.003	0.456375917	1	
FUNDC2	0.231982	0.343	0.262	0.081	0.088531364	1	
TAF5L	0.231676579	0.021	0.019	0.002	0.857325232	1	
BLOC1S5	0.231543509	0.075	0.062	0.013	0.578361127	1	
SDHC	0.231375383	0.387	0.312	0.075	0.102683453	1	
ZMYM1	0.231177149	0.035	0.025	0.01	0.540717174	1	
SPATA20	0.231058369	0.07	0.05	0.02	0.386310786	1	
HSD17B8	0.231033375	0.096	0.062	0.034	0.218080999	1	
TMEM25	0.230989199	0.031	0.025	0.006	0.673171905	1	
GID4	0.230902373	0.023	0.019	0.004	0.761603877	1	
PGGT1B	0.230899419	0.073	0.05	0.023	0.322181389	1	
GPATCH2L	0.230689104	0.089	0.062	0.027	0.301345667	1	
AC005363.11	0.230455082	0.002	0	0.002	0.599816854	1	
RP11-402D21.2	0.230455082	0.002	0	0.002	0.599816854	1	
ALG3	0.230388624	0.139	0.112	0.027	0.379745724	1	
FAM212B	0.230361943	0.003	0	0.003	0.456375917	1	
MLC1	0.230361943	0.003	0	0.003	0.456375917	1	
SIGLEC14	0.230199483	0.003	0	0.003	0.456375917	1	
NDUFS8	0.230159395	0.458	0.412	0.046	0.137804648	1	
PGBD4	0.230101372	0.01	0.006	0.004	0.629705803	1	
RAB8A	0.230063405	0.274	0.212	0.062	0.142026893	1	
PUS7L	0.229963306	0.103	0.081	0.022	0.42881299	1	
IFFO1	0.229939142	0.07	0.062	0.008	0.730004801	1	
PEX3	0.229731172	0.094	0.081	0.013	0.606402479	1	
SLC39A14	0.229695541	0.014	0.012	0.002	0.883970415	1	
RP11-1143G9.4	0.229199719	0.003	0	0.003	0.456375917	1	
MTA1	0.229183927	0.044	0.038	0.006	0.732489973	1	
PSMC3	0.228537759	0.34	0.306	0.034	0.2891789	1	
TMEM117	0.228444963	0.023	0.012	0.011	0.429226374	1	
SDHB	0.22842722	0.315	0.256	0.059	0.123324554	1	
RP11-305L7.1	0.228321233	0.003	0	0.003	0.456375917	1	
NPC1	0.228299634	0.101	0.075	0.026	0.299292375	1	
DHX15	0.22804213	0.186	0.15	0.036	0.323657913	1	
KMT2E-AS1	0.228015991	0.247	0.2	0.047	0.229267761	1	
TAF1C	0.227969731	0.04	0.025	0.015	0.36784282	1	
RILP	0.227930078	0.028	0.019	0.009	0.526201964	1	
TTC1	0.227920803	0.213	0.169	0.044	0.214977166	1	
INPP4A	0.227844304	0.073	0.062	0.011	0.63315654	1	
ZNF749	0.227748516	0.028	0.025	0.003	0.832461826	1	
EXT1	0.22770248	0.01	0.012	-0.002	0.833800494	1	
CEBPE	0.227672205	0.002	0	0.002	0.599816854	1	
RP11-488L18.10	0.227593994	0.014	0.006	0.008	0.439488048	1	
HDAC5	0.227542865	0.049	0.044	0.005	0.780975505	1	
GTF3C2-AS1	0.227493055	0.002	0	0.002	0.599816854	1	
GSTCD	0.227397932	0.012	0.006	0.006	0.52826174	1	
RNF2	0.227353123	0.092	0.088	0.004	0.794918912	1	
UBE3A	0.22721454	0.24	0.225	0.015	0.497393418	1	
RSRC2	0.227151294	0.42	0.406	0.014	0.366442096	1	
AP3D1	0.227120523	0.092	0.069	0.023	0.371105341	1	
RP11-304F15.3	0.227105868	0.002	0	0.002	0.599816854	1	
ZDHHC23	0.227105868	0.002	0	0.002	0.599816854	1	
GPR15	0.226973554	0.092	0.075	0.017	0.486405866	1	
TPRKB	0.226898567	0.207	0.175	0.032	0.297788383	1	
TRAC	0.22685546	0.613	0.538	0.075	0.050078075	1	
PA2G4	0.226853344	0.5	0.481	0.019	0.204262216	1	
PI4K2A	0.22675487	0.049	0.038	0.011	0.549854581	1	
EBP	0.226583368	0.209	0.206	0.003	0.681754042	1	
KDF1	0.226542355	0.002	0	0.002	0.599816854	1	
RP11-290F5.1	0.226542355	0.002	0	0.002	0.599816854	1	
IL20RB	0.226512774	0.002	0	0.002	0.599816854	1	
MYRIP	0.226512774	0.002	0	0.002	0.599816854	1	
MTM1	0.226348037	0.105	0.075	0.03	0.283237361	1	
KLHL8	0.226228396	0.014	0.012	0.002	0.887286765	1	
MIR4435-2HG	0.22620687	0.624	0.481	0.143	0.004811052	1	
PDLIM5	0.226078566	0.134	0.094	0.04	0.181340298	1	
RCCD1	0.226041612	0.003	0.006	-0.003	0.632053278	1	
MRPL3	0.226032058	0.179	0.169	0.01	0.628995474	1	
KIR2DL1	0.225658292	0.002	0	0.002	0.599816854	1	
LINC01134	0.225658292	0.002	0	0.002	0.599816854	1	
TMEM128	0.225441538	0.099	0.05	0.049	0.066401179	1	
PIGZ	0.225365142	0.002	0	0.002	0.599816854	1	
NFE2L1	0.225353965	0.049	0.038	0.011	0.552948919	1	
MRPL30	0.225303956	0.106	0.1	0.006	0.749055674	1	
CBR4	0.22528347	0.049	0.038	0.011	0.549854581	1	
SRSF5	0.225280239	0.894	0.844	0.05	0.002408627	1	
ETAA1	0.225160241	0.026	0.019	0.007	0.599149411	1	
OGN	0.225133654	0.007	0.006	0.001	0.918675923	1	
AC005624.2	0.22501437	0.002	0	0.002	0.599816854	1	
GSTA2	0.22501437	0.002	0	0.002	0.599816854	1	
RBM44	0.22501437	0.002	0	0.002	0.599816854	1	
RP11-73O6.3	0.22501437	0.002	0	0.002	0.599816854	1	
TACR2	0.22501437	0.002	0	0.002	0.599816854	1	
UBE2Q2L	0.22501437	0.002	0	0.002	0.599816854	1	
IFI35	0.224906142	0.193	0.2	-0.007	0.905097468	1	
H2AFY	0.224872473	0.324	0.275	0.049	0.201994332	1	
PPP1R16B	0.224845242	0.125	0.119	0.006	0.769143134	1	
SMCR8	0.224841511	0.047	0.038	0.009	0.605766238	1	
NCAPG2	0.224550736	0.026	0.019	0.007	0.595872564	1	
COL11A2	0.224432181	0.002	0	0.002	0.599816854	1	
MESP1	0.224432181	0.002	0	0.002	0.599816854	1	
RHCE	0.224432181	0.002	0	0.002	0.599816854	1	
RP1-224A6.9	0.224432181	0.002	0	0.002	0.599816854	1	
TMPRSS6	0.224432181	0.002	0	0.002	0.599816854	1	
ELAVL4	0.224345113	0.002	0	0.002	0.599816854	1	
IGFBP3	0.224345113	0.002	0	0.002	0.599816854	1	
RP11-473M20.9	0.224327737	0.078	0.056	0.022	0.365233447	1	
DPP3	0.224306975	0.106	0.1	0.006	0.753868475	1	
TNFAIP8L2	0.224254661	0.057	0.05	0.007	0.701734087	1	
SETD2	0.224109992	0.226	0.225	0.001	0.711952828	1	
MT-CO1	0.224109167	1	1	0	4.39E-13	8.09E-09	
PPM1G	0.224078508	0.531	0.475	0.056	0.094393499	1	
GALK1	0.22402853	0.099	0.081	0.018	0.48446536	1	
EEF1E1	0.223753476	0.202	0.188	0.014	0.579957027	1	
TDRD7	0.223420562	0.023	0.012	0.011	0.427220493	1	
IRF7	0.223399169	0.152	0.131	0.021	0.488195715	1	
AC104653.1	0.223363068	0.002	0	0.002	0.599816854	1	
FAM156B	0.223363068	0.002	0	0.002	0.599816854	1	
LINC00511	0.223363068	0.002	0	0.002	0.599816854	1	
NHLRC1	0.223363068	0.002	0	0.002	0.599816854	1	
VPS13C	0.223219439	0.322	0.294	0.028	0.343187385	1	
TRBJ2-7	0.22314686	0.014	0.012	0.002	0.883970415	1	
SPG11	0.223142045	0.167	0.131	0.036	0.283600259	1	
CD74	0.223051997	0.993	0.95	0.043	0.010622753	1	
POLR2F	0.222927532	0.275	0.231	0.044	0.24137873	1	
PPP2R1A	0.222803847	0.49	0.4	0.09	0.065509726	1	
AP000721.4	0.222789417	0.002	0	0.002	0.599816854	1	
LA16c-390E6.4	0.222789417	0.002	0	0.002	0.599816854	1	
RP11-72M17.1	0.222789417	0.002	0	0.002	0.599816854	1	
SMC1B	0.222789417	0.002	0	0.002	0.599816854	1	
TSC22D1-AS1	0.222789417	0.002	0	0.002	0.599816854	1	
ATP2B4	0.222768199	0.239	0.188	0.051	0.207581036	1	
ZKSCAN5	0.222619063	0.035	0.031	0.004	0.818000209	1	
SNRNP48	0.222531386	0.045	0.038	0.007	0.66747236	1	
SNU13	0.222486227	0.672	0.6	0.072	0.01252022	1	
ILF2	0.222431848	0.42	0.369	0.051	0.157289336	1	
SLC25A45	0.22242088	0.118	0.125	-0.007	0.959468586	1	
NAA35	0.222359017	0.066	0.044	0.022	0.303593953	1	
AJUBA	0.222332621	0.002	0	0.002	0.599816854	1	
RP11-16N11.2	0.222332621	0.002	0	0.002	0.599816854	1	
SULT2B1	0.222332621	0.002	0	0.002	0.599816854	1	
STX7	0.222135849	0.085	0.056	0.029	0.256086958	1	
RTEL1	0.222088537	0.009	0.006	0.003	0.759992217	1	
WRAP73	0.221735875	0.103	0.088	0.015	0.539879175	1	
PAIP2	0.221657961	0.666	0.581	0.085	0.023058241	1	
RFC3	0.221634648	0.024	0.019	0.005	0.678084766	1	
RP4-612B15.3	0.221551528	0.009	0.006	0.003	0.762051773	1	
PINX1	0.22142633	0.068	0.056	0.012	0.595887272	1	
CTB-43P18.1	0.221207481	0.021	0.025	-0.004	0.771148025	1	
TRIM22	0.221147529	0.488	0.456	0.032	0.244865819	1	
BLK	0.220955923	0.017	0.019	-0.002	0.921351131	1	
MAF	0.220804764	0.261	0.2	0.061	0.108887021	1	
ATP5EP2	0.220720462	0.002	0	0.002	0.599816854	1	
TRBV6-8	0.220720462	0.002	0	0.002	0.599816854	1	
HTATIP2	0.22058258	0.399	0.381	0.018	0.37749637	1	
NAPA	0.220571581	0.427	0.362	0.065	0.075053077	1	
FAM173B	0.220535403	0.03	0.031	-0.001	0.930614413	1	
SS18L2	0.220480743	0.448	0.394	0.054	0.137290812	1	
MRC2	0.220449381	0.002	0	0.002	0.599816854	1	
SCARF1	0.220449381	0.002	0	0.002	0.599816854	1	
AC139887.4	0.220440045	0.002	0	0.002	0.599816854	1	
ADPRHL1	0.220440045	0.002	0	0.002	0.599816854	1	
C1orf74	0.220440045	0.002	0	0.002	0.599816854	1	
RP1-225E12.2	0.220440045	0.002	0	0.002	0.599816854	1	
RAB23	0.220328078	0.002	0	0.002	0.599816854	1	
RAVER2	0.220328078	0.002	0	0.002	0.599816854	1	
ROBO3	0.220328078	0.002	0	0.002	0.599816854	1	
SEMA4C	0.220328078	0.002	0	0.002	0.599816854	1	
RP4-535B20.1	0.220300104	0.002	0	0.002	0.599816854	1	
TNNT3	0.220300104	0.002	0	0.002	0.599816854	1	
UBQLN4	0.220287098	0.024	0.025	-0.001	0.981794644	1	
EGLN1	0.220123495	0.057	0.044	0.013	0.502922264	1	
CCDC146	0.220113317	0.017	0.012	0.005	0.666521499	1	
CTSZ	0.220076495	0.125	0.106	0.019	0.490345549	1	
GTSE1	0.219964973	0.002	0	0.002	0.599816854	1	
HOXC4	0.219964973	0.002	0	0.002	0.599816854	1	
RP5-1125A11.6	0.219964973	0.002	0	0.002	0.599816854	1	
AC006160.5	0.219881351	0.002	0	0.002	0.599816854	1	
ATP13A4	0.219881351	0.002	0	0.002	0.599816854	1	
GAS2L3	0.219881351	0.002	0	0.002	0.599816854	1	
RP11-363E6.3	0.219881351	0.002	0	0.002	0.599816854	1	
SPRY4	0.219881351	0.002	0	0.002	0.599816854	1	
CCAR2	0.219816945	0.134	0.119	0.015	0.543137753	1	
MED30	0.219775771	0.307	0.244	0.063	0.114833128	1	
PEA15	0.21973371	0.099	0.062	0.037	0.174370014	1	
SGSH	0.219531119	0.138	0.119	0.019	0.486347394	1	
IFITM10	0.219368504	0.003	0	0.003	0.456375917	1	
PCED1B	0.219319221	0.477	0.375	0.102	0.029932037	1	
TRAF4	0.21903193	0.033	0.019	0.014	0.358711696	1	
TRIT1	0.218989193	0.017	0.019	-0.002	0.921351131	1	
TRMU	0.218969027	0.075	0.056	0.019	0.416570081	1	
BDH2	0.218957203	0.139	0.119	0.02	0.465591573	1	
A2M-AS1	0.218882833	0.002	0	0.002	0.599816854	1	
AC005540.3	0.218882833	0.002	0	0.002	0.599816854	1	
IQGAP3	0.218882833	0.002	0	0.002	0.599816854	1	
RPS6KA2	0.218882833	0.002	0	0.002	0.599816854	1	
SLC25A30-AS1	0.21887847	0.003	0	0.003	0.456375917	1	
CTA-384D8.34	0.218827627	0.002	0	0.002	0.599816854	1	
CTA-384D8.35	0.21874487	0.002	0	0.002	0.599816854	1	
TGFB3	0.21874487	0.002	0	0.002	0.599816854	1	
CPEB3	0.218724632	0.021	0.012	0.009	0.494950869	1	
KDELR2	0.218593937	0.211	0.206	0.005	0.730718626	1	
ZNF148	0.218465143	0.204	0.169	0.035	0.291628524	1	
NDUFC1	0.218358911	0.488	0.462	0.026	0.178027671	1	
LSM10	0.218273774	0.272	0.225	0.047	0.188977113	1	
POLR2L	0.218263928	0.671	0.612	0.059	0.029690308	1	
PDCL	0.218238003	0.11	0.1	0.01	0.680429864	1	
CHIT1	0.218222198	0.002	0	0.002	0.599816854	1	
CTD-3035K23.7	0.218222198	0.002	0	0.002	0.599816854	1	
PKP3	0.218222198	0.002	0	0.002	0.599816854	1	
ZNF226	0.2182183	0.082	0.081	0.001	0.915192236	1	
COG8	0.218132713	0.057	0.044	0.013	0.500874527	1	
NDUFAF4	0.217757082	0.125	0.094	0.031	0.284469666	1	
ZNF429	0.217635769	0.049	0.038	0.011	0.555275263	1	
AP1S1	0.21759764	0.148	0.144	0.004	0.775378201	1	
DHCR7	0.217279223	0.063	0.044	0.019	0.384485769	1	
HPS5	0.217130955	0.071	0.069	0.002	0.869735914	1	
SP100	0.217030612	0.589	0.562	0.027	0.130114243	1	
PTPRC	0.21702108	0.948	0.906	0.042	0.001891795	1	
VIM	0.216893974	0.988	1	-0.012	0.000995221	1	
VCP	0.216663865	0.53	0.475	0.055	0.097791162	1	
SP1	0.216646315	0.051	0.038	0.013	0.498682336	1	
ANAPC13	0.216215735	0.186	0.15	0.036	0.268710615	1	
METTL21A	0.216051278	0.064	0.056	0.008	0.696963195	1	
RBAK	0.216033555	0.012	0.006	0.006	0.52519975	1	
LY6G5C	0.216003739	0.044	0.038	0.006	0.724309698	1	
HLA-DPA1	0.215710502	0.772	0.612	0.16	0.033407642	1	
AC003075.4	0.215707032	0.131	0.081	0.05	0.113612947	1	
ANAPC7	0.215607858	0.08	0.062	0.018	0.460049973	1	
LDAH	0.2155304	0.042	0.038	0.004	0.801540112	1	
BCOR	0.215405496	0.047	0.044	0.003	0.841253151	1	
TADA3	0.215352092	0.293	0.275	0.018	0.405416429	1	
TAF4	0.215248245	0.031	0.025	0.006	0.673171905	1	
RAP1B	0.215168867	0.636	0.525	0.111	0.021706912	1	
EFTUD2	0.215154681	0.117	0.106	0.011	0.660950494	1	
RPAP2	0.215019534	0.124	0.119	0.005	0.789915344	1	
ELK3	0.214831292	0.141	0.112	0.029	0.361862483	1	
DCPS	0.214722446	0.178	0.162	0.016	0.557667724	1	
PRPF6	0.214721321	0.23	0.2	0.03	0.388607528	1	
TXNDC9	0.214595736	0.146	0.144	0.002	0.790080018	1	
NR5A2	0.214591642	0.005	0.006	-0.001	0.88171627	1	
RP11-533E19.7	0.214094119	0.01	0.012	-0.002	0.833800494	1	
SEPT15	0.21398672	0.204	0.188	0.016	0.489181207	1	
PGP	0.213978102	0.044	0.044	0	0.979083363	1	
SLC7A6	0.213830489	0.167	0.125	0.042	0.219256208	1	
TMEM109	0.21378122	0.26	0.212	0.048	0.227213468	1	
LONRF3	0.213762918	0.012	0.006	0.006	0.52826174	1	
HECTD2	0.213623357	0.014	0.006	0.008	0.440798149	1	
TNPO3	0.213556355	0.143	0.112	0.031	0.325508103	1	
SLX4	0.213515003	0.014	0.006	0.008	0.439488048	1	
ARMCX6	0.213370844	0.157	0.131	0.026	0.412893985	1	
SLAIN2	0.213324308	0.15	0.1	0.05	0.136349923	1	
NAA38	0.213152316	0.369	0.325	0.044	0.182851161	1	
POMZP3	0.212965963	0.045	0.031	0.014	0.450601051	1	
ZCCHC2	0.212957907	0.054	0.05	0.004	0.817697582	1	
RP5-940J5.6	0.212947107	0.002	0	0.002	0.599816854	1	
CDC37	0.212934916	0.594	0.55	0.044	0.061277782	1	
FAM151B	0.212894865	0.002	0	0.002	0.599816854	1	
FCER1A	0.212894865	0.002	0	0.002	0.599816854	1	
RP11-713M15.1	0.212894865	0.002	0	0.002	0.599816854	1	
RP11-77H9.8	0.212894865	0.002	0	0.002	0.599816854	1	
EID3	0.212651569	0.035	0.025	0.01	0.542076446	1	
WDR45B	0.212613777	0.146	0.094	0.052	0.115480739	1	
TAP2	0.212452137	0.068	0.056	0.012	0.599986009	1	
MGMT	0.21243292	0.249	0.175	0.074	0.084698041	1	
GEMIN4	0.212349426	0.01	0.012	-0.002	0.831971061	1	
CTSO	0.212200617	0.068	0.069	-0.001	0.978435558	1	
BATF3	0.212028015	0.005	0.006	-0.001	0.88171627	1	
USO1	0.211855409	0.172	0.144	0.028	0.372092446	1	
CSNK1A1	0.211819898	0.432	0.388	0.044	0.143861561	1	
GGCT	0.211815059	0.188	0.162	0.026	0.437493706	1	
ILK	0.21160027	0.237	0.206	0.031	0.325586597	1	
DERL2	0.211562629	0.282	0.25	0.032	0.248456831	1	
MEI1	0.21149923	0.256	0.219	0.037	0.295729142	1	
CD59	0.211238904	0.286	0.25	0.036	0.315329026	1	
SNRPB	0.211223322	0.582	0.5	0.082	0.054664273	1	
ARHGEF7	0.211148086	0.124	0.112	0.012	0.638884183	1	
SEL1L3	0.211147019	0.089	0.094	-0.005	0.938367078	1	
ARHGAP1	0.210864839	0.105	0.119	-0.014	0.725782109	1	
CROT	0.210841908	0.026	0.025	0.001	0.927332222	1	
PPIF	0.210805606	0.098	0.075	0.023	0.389514442	1	
PAFAH1B1	0.210798225	0.305	0.25	0.055	0.16971769	1	
THBS4	0.210766486	0.003	0	0.003	0.456375917	1	
DPF3	0.21062142	0.002	0	0.002	0.599816854	1	
RP11-214F16.8	0.21062142	0.002	0	0.002	0.599816854	1	
MROH6	0.210595865	0.002	0	0.002	0.599816854	1	
GSKIP	0.210464532	0.101	0.088	0.013	0.592292806	1	
TBC1D16	0.210450732	0.003	0	0.003	0.456375917	1	
GRK5	0.210380996	0.059	0.056	0.003	0.852484813	1	
E2F8	0.210289695	0.002	0	0.002	0.599816854	1	
SLCO2B1	0.210103442	0.003	0	0.003	0.456375917	1	
CHFR	0.210098152	0.108	0.112	-0.004	0.984142997	1	
RFXAP	0.209930214	0.035	0.025	0.01	0.542076446	1	
RP11-223C24.1	0.209864537	0.024	0.019	0.005	0.679269759	1	
AC007163.6	0.209730697	0.002	0	0.002	0.599816854	1	
RP11-686D22.4	0.209730697	0.002	0	0.002	0.599816854	1	
CCT3	0.209381564	0.432	0.406	0.026	0.243315841	1	
CEP72	0.209074181	0.01	0.006	0.004	0.629705803	1	
PAK2	0.208928824	0.58	0.5	0.08	0.03680127	1	
ATPAF1	0.208860817	0.108	0.094	0.014	0.594484617	1	
RANBP10	0.208857839	0.037	0.031	0.006	0.740044378	1	
ALDH3B1	0.208708512	0.003	0	0.003	0.456375917	1	
LINC00937	0.208708512	0.003	0	0.003	0.456375917	1	
LMO2	0.208708512	0.003	0	0.003	0.456375917	1	
C6orf89	0.208654952	0.169	0.138	0.031	0.362644118	1	
HEATR5B	0.208631452	0.063	0.044	0.019	0.382224693	1	
FKBP10	0.20844624	0.002	0	0.002	0.599816854	1	
VPS37D	0.20844624	0.002	0	0.002	0.599816854	1	
SLC4A4	0.208375306	0.003	0	0.003	0.456375917	1	
PPDPF	0.208152154	0.949	0.919	0.03	0.000271685	1	
RP11-266L9.5	0.208070614	0.005	0.006	-0.001	0.88171627	1	
MICB	0.208022659	0.084	0.069	0.015	0.539555211	1	
AC024592.12	0.207970288	0.005	0.006	-0.001	0.88171627	1	
ANKRD36B	0.207947682	0.125	0.088	0.037	0.211653321	1	
SLC25A46	0.207741105	0.15	0.119	0.031	0.295865704	1	
CCDC85B	0.207687812	0.413	0.381	0.032	0.261329467	1	
ZNHIT2	0.207379802	0.044	0.044	0	0.976231889	1	
DNAH14	0.207350701	0.002	0	0.002	0.599816854	1	
HCG14	0.207350701	0.002	0	0.002	0.599816854	1	
MAGEE1	0.207350701	0.002	0	0.002	0.599816854	1	
